,name,price,uom,product_type,supermarket,weight,price_kg,number_of_units,price_unit,volume,price_lit
1168,"Батон КОЛОМЕНСКОЕ Нарезной, в нарезке, 400г",0.7903934399999999,400г,bread,Lenta,400.0,1.9759836,,,,
1169,"Хлеб КОЛОМЕНСКОЕ Бородинский, в нарезке, 400г",0.7572254399999999,400г,bread,Lenta,400.0,1.8930635999999998,,,,
1170,"Хлеб ржано-пшеничный подовый РИЖСКИЙ ХЛЕБ Деревенский, бездрожжевой, 220г",0.8622574399999999,220г,bread,Lenta,220.0,3.919352,,,,
1171,"Хлеб КОЛОМЕНСКОЕ Ржаной край, 300г",0.96728944,300г,bread,Lenta,300.0,3.2242981333333334,,,,
1172,"Хлеб зерновой КОЛОМЕНСКОЕ Ржаной край, 300г",1.39648336,300г,bread,Lenta,300.0,4.654944533333333,,,,
1173,"Хлеб ЗАО ЩЕЛКОВОХЛЕБ Ржевский, в нарезке, 340г",0.59138544,340г,bread,Lenta,340.0,1.7393689411764708,,,,
1174,"Хлеб ЗАО ЩЕЛКОВОХЛЕБ Тостовый молочный, в нарезке, 500г",1.10548944,500г,bread,Lenta,500.0,2.21097888,,,,
1175,"Хлеб ЗАО ЩЕЛКОВОХЛЕБ Бородинский новый, в нарезке, 500г",0.63008144,500г,bread,Lenta,500.0,1.26016288,,,,
1176,"Батон ЗАО ЩЕЛКОВОХЛЕБ Щелковский, в нарезке, 330г",0.62897584,330г,bread,Lenta,330.0,1.905987393939394,,,,
1177,"Хлеб зерновой ХЛЕБНЫЙ ДОМ Геркулес, в нарезке, половинка, 250г",0.69641744,250г,bread,Lenta,250.0,2.78566976,,,,
1178,"Батон ХЛЕБНЫЙ ДОМ Утренний, в нарезке, 400г",0.9076975999999999,400г,bread,Lenta,400.0,2.269244,,,,
1179,"Хлеб ДЕДОВСКИЙ ХЛЕБ Дарницкий, в нарезке, 350г",0.40896144,350г,bread,Lenta,350.0,1.1684612571428572,,,,
1180,"Хлеб КОЛОМЕНСКОЕ Ароматный, в нарезке, 400г",0.7793374399999999,400г,bread,Lenta,400.0,1.9483435999999998,,,,
1181,"Хлеб ХЛЕБОЗАВОД №22 Столичный, в нарезке, 700г",0.85120144,700г,bread,Lenta,700.0,1.2160020571428571,,,,
1182,"Хлеб ЧЕРЕМУШКИ Бородинский, в нарезке, половинка, 390г",0.66324944,390г,bread,Lenta,390.0,1.7006395897435898,,,,
1183,"Хлеб ЧЕРЕМУШКИ Дарницкий, в нарезке, половинка, 340г",0.6411374400000001,340г,bread,Lenta,340.0,1.8856983529411764,,,,
1184,"Батон ЧЕРЕМУШКИ Нарезной, 400г",0.74616944,400г,bread,Lenta,400.0,1.8654236,,,,
1185,"Батон пшеничный КОЛОМЕНСКОЕ с отрубями, 300г",0.7793374399999999,300г,bread,Lenta,300.0,2.5977914666666666,,,,
1186,"Батон ЧЕРЕМУШКИ Полюшко, в нарезке, 300г",0.82908944,300г,bread,Lenta,300.0,2.7636314666666664,,,,
1187,"Хлеб ЧЕРЕМУШКИ Столичный, в нарезке, половинка, 330г",0.60796944,330г,bread,Lenta,330.0,1.8423316363636362,,,,
1188,"Хлеб ЧЕРЕМУШКИ Зерновик, в нарезке , 460г",1.1828814399999998,460г,bread,Lenta,460.0,2.5714813913043475,,,,
1189,"Хлеб 365 ДНЕЙ Украинский новый, 650г",0.30945744,650г,bread,Lenta,650.0,0.47608836923076914,,,,
1190,"Хлеб белый 365 ДНЕЙ высший сорт, 380г",0.24433760000000002,380г,bread,Lenta,380.0,0.6429936842105264,,,,
1191,"Хлеб цельнозерновой РИЖСКИЙ ХЛЕБ заварной бездрожжевой, 300г",0.9562334399999999,300г,bread,Lenta,300.0,3.1874448,,,,
1192,"Батон ЛЕНТА нарезной, в нарезке, 400г",0.51952144,400г,bread,Lenta,400.0,1.2988036,,,,
1193,"Хлеб ХЗ №28 Для фитнеса, в нарезке, 300г",0.98918032,300г,bread,Lenta,300.0,3.2972677333333333,,,,
1194,"Хлеб ХЛЕБОЗАВОД №22 Дарницкий, в нарезке, половинка, 350г",0.47529744,350г,bread,Lenta,350.0,1.3579926857142859,,,,
1195,"Хлеб КОЛОМЕНСКОЕ Дарницкий, в нарезке, половинка, 350г",0.68536144,350г,bread,Lenta,350.0,1.958175542857143,,,,
1196,"Батон ЧЕРЕМУШКИ с пшеничными отрубями, высший сорт, в нарезке, 350г",0.65219344,350г,bread,Lenta,350.0,1.863409828571429,,,,
1197,"Хлеб ХЛЕБНЫЙ ДОМ Геркулес с кукурузой, 255г",0.9086926399999999,255г,bread,Lenta,255.0,3.563500549019607,,,,
1198,"Батон ХЛЕБНЫЙ ДОМ Звездный, в нарезке, 350г",0.60244144,350г,bread,Lenta,350.0,1.7212612571428572,,,,
1199,"Хлеб КОЛОМЕНСКОЕ ДАНИЛОВСКИЙ Зерновой, в нарезке, 300г",0.98940144,300г,bread,Lenta,300.0,3.2980048,,,,
1200,"Хлеб злаковый КОЛОМЕНСКОЕ Тостовый, в нарезке, 250г",0.9086926399999999,250г,bread,Lenta,250.0,3.6347705599999998,,,,
1201,"Хлеб пшеничный КОЛОМЕНСКОЕ Тостовый, 320г",0.7240574399999999,320г,bread,Lenta,320.0,2.2626794999999995,,,,
1202,"Батон ЧЕРЕМУШКИ Нарезной, высший сорт, в нарезке, 200г",0.52394384,200г,bread,Lenta,200.0,2.6197192,,,,
1203,"Хлеб ЧЕРЕМУШКИ Дар зерна, традиционный, в нарезке, 350г",1.0115134399999999,350г,bread,Lenta,350.0,2.8900384,,,,
1204,"Хлеб ржано-пшеничный КОЛОМЕНСКОЕ ДАНИЛОВСКИЙ бездрожжевой, в нарезке, 
350г",0.8622574399999999,350г,bread,Lenta,350.0,2.463592685714285,,,,
1205,"Хлеб ТЕПЛЫЙ ДАР Бородинский, в нарезке, 350г",0.46645264,350г,bread,Lenta,350.0,1.3327218285714284,,,,
1206,"Батон ЛЕНТА половинка, в нарезке, 200г",0.29840143999999996,200г,bread,Lenta,200.0,1.4920071999999998,,,,
1207,"Батон НИЖЕГОРОДСКИЙ ХЛЕБ Подмосковный, высший сорт, в нарезке, 400г",0.39237744,400г,bread,Lenta,400.0,0.9809435999999999,,,,
