category_code,name,price,uom,supermarket
MENU01161,Creamer đặc sữa pha chế Nutimilk lon 380g,19900.0,LON,Winmart
MENU01161,Creamer đặc sữa pha chế Nutimilk hộp 1284g,67100.0,HOP,Winmart
MENU01161,Creamer đặc sữa pha chế Nutimilk hộp 380g,19900.0,HOP,Winmart
MENU01161,Sữa đặc Tài Lộc Vinamilk 380g,16200.0,HOP,Winmart
MENU01161,"Creamer đặc có đường Ngôi Sao Phương Nam Vinamilk hộp 1,284kg",59200.0,HOP,Winmart
MENU01161,Sữa đặc có đường Ông Thọ đỏ hộp giấy 380g,27300.0,HOP,Winmart
MENU01161,Sữa đặc có đường Ông Thọ chữ xanh - Hộp giấy 380g,28500.0,HOP,Winmart
MENU01161,Sữa đặc có đường Ngôi Sao Phương Nam hộp giấy 380g (Xanh lá),21400.0,HOP,Winmart
MENU01169,Thạch đào  Jelly Nuvi túi 110ml,4800.0,G1,Winmart
MENU01169,Lốc 6 chai Nuvi sữa chua uống lên men chai 100ml,26500.0,G6,Winmart
MENU01169,Lốc 4 hộp sữa chua uống Topkid hương dâu 180ml,33400.0,G4,Winmart
MENU01169,Lốc 4 chai sữa chua uống Topkid Phô mai tự nhiên 90ml,23600.0,G4,Winmart
MENU01169,Lốc 4 hộp sữa chua uống Topkid hương cam 180ml,33400.0,G4,Winmart
MENU01169,Sữa chua uống hương dâu Yogu  85ml,7300.0,G1,Winmart
