,name,price,pricing_unit,supermarket,product_type,weight,price_kg,number_of_units,price_unit,volume,price_lit
6399,"Чай черный АЗЕРЧАЙ Premium Collection Эрл Грей с ароматом бергамота, 100пак",487.36,100пак,Lenta,black_tea,,,100.0,4.8736,,
6400,"Чай черный AKBAR Limited Edition, 100пак",395.49,100пак,Lenta,black_tea,,,100.0,3.9549000000000003,,
6401,"Чай черный AKBAR Голд байховый цейлонский, крупнолистовой, 250г",556.49,250г,Lenta,black_tea,250.0,2225.96,,,,
6402,"Чай черный КРАСНОДАРСКИЙ ГОСТ ЧАЙ РУЧНОЙ СБОР байховый, листовой, 40г",113.99,40г,Lenta,black_tea,40.0,2849.75,,,,
6403,"Чай черный BERNLEY English Classic, 100пак",326.99,100пак,Lenta,black_tea,,,100.0,3.2699000000000003,,
6404,"Чай зеленый TESS Get Energy оолонг байховый, 20пак",138.99,20пак,Lenta,green_tea,,,20.0,6.9495000000000005,,
6406,"Чай зеленый SHENNUN Молочный Улун китайский, листовой, 100г",276.89,100г,Lenta,green_tea,100.0,2768.9,,,,
6407,"Чай зеленый SHENNUN с манго китайский, листовой, 100г",276.89,100г,Lenta,green_tea,100.0,2768.9,,,,
6408,"Чай зеленый SHENNUN Молочный Би Ло Чунь китайский, листовой, 100г",290.52,100г,Lenta,green_tea,100.0,2905.2,,,,
6411,"Чай черный GREENFIELD Спринг Мелоди байховый, листовой, 100г",188.99,100г,Lenta,black_tea,100.0,1889.9,,,,
6412,"Чай черный АЗЕРЧАЙ с ароматом бергамота, 25пак",114.73,25пак,Lenta,black_tea,,,25.0,4.5892,,
6413,"Чай черный GREENFIELD Кениан санрайз, 100г",211.57,100г,Lenta,black_tea,100.0,2115.7,,,,
6414,"Чай черный AKBAR цейлонский, 100пак",406.31,,Lenta,black_tea,,,100.0,4.0631,,
6415,"Чай черный AKBAR крупнолистовой, 100г",219.99,100г,Lenta,black_tea,100.0,2199.9,,,,
6416,"Чай зеленый ЧЕРНЫЙ ДРАКОН Молочный Китайский байховый листовой, 100г",270.49,100г,Lenta,green_tea,100.0,2704.9,,,,
